City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,annau,37.8876,58.516,25.88,30,100,0.75,TM,1684526866
281,igarka,67.4667,86.5833,3.48,95,91,2.97,RU,1684526866
282,urangan,-25.3,152.9,15.17,69,0,4.0,AU,1684526866
283,santa maria del oro,25.9333,-105.3667,26.97,23,100,3.33,MX,1684526867
284,reggane,26.7158,0.1714,27.16,16,98,6.35,DZ,1684526867
285,saint-philippe,-21.3585,55.7679,23.77,81,51,1.36,RE,1684526867
286,ta`u,-14.2336,-169.5144,28.17,81,99,8.01,AS,1684526867
287,lebu,-37.6167,-73.65,12.87,61,0,5.87,CL,1684526867
288,narvik,68.4384,17.4272,8.67,95,100,2.31,NO,1684526867
289,geraldton,-28.7667,114.6,14.23,44,1,5.66,AU,1684526867
290,igra,57.5558,53.0547,8.85,78,100,0.97,RU,1684526867
291,acarau,-2.8856,-40.12,26.78,84,92,5.35,BR,1684526868
292,kenora,49.8167,-94.4337,20.72,30,43,3.93,CA,1684526868
293,peterhead,57.5058,-1.7981,11.36,86,29,4.93,GB,1684526868
294,matoury,4.8483,-52.3317,28.98,74,75,5.14,GF,1684526868
295,olinda,-8.0089,-34.8553,26.85,78,40,1.03,BR,1684526868
296,tondano,1.3038,124.9112,21.05,96,100,1.34,ID,1684526868
297,kostomuksha,64.571,30.5767,8.5,69,19,2.11,RU,1684526868
298,mandera,3.9366,41.867,29.2,54,56,6.86,KE,1684526868
299,weno,7.4515,151.8468,27.97,89,100,3.6,FM,1684526868
300,manjeshvar,12.7,74.8833,29.66,79,95,2.65,IN,1684526869
301,rantauprapat,2.1,99.8333,23.29,98,100,0.95,ID,1684526869
302,zhuangyuan,37.2975,120.8256,15.54,82,97,3.0,CN,1684526869
303,meulaboh,4.1363,96.1285,25.95,89,97,2.17,ID,1684526869
304,malabar,-33.9667,151.25,10.02,78,0,5.14,AU,1684526869
305,berdigestyakh,62.0989,126.6992,0.06,89,17,2.15,RU,1684526869
306,gaozhou,21.9392,110.8461,25.32,89,0,2.44,CN,1684526817
307,huilong,31.8111,121.655,17.08,92,100,3.12,CN,1684526869
308,varna,43.2167,27.9167,19.08,55,23,3.6,BG,1684526869
309,dakhla,23.6848,-15.958,18.6,84,18,9.68,EH,1684526869
310,tsiombe,-25.3,45.4833,19.51,75,1,2.2,MG,1684526870
311,scarborough,54.2797,-0.4044,11.48,86,25,0.45,GB,1684526870
312,nadi,-17.8,177.4167,26.0,94,100,2.57,FJ,1684526870
313,bayanhongor,46.7167,100.1167,-4.84,38,0,2.84,MN,1684526870
314,heihe,50.2441,127.4902,12.32,38,100,6.9,CN,1684526571
315,oranjemund,-28.55,16.4333,12.03,82,3,6.13,NA,1684526870
316,sriperumbudur,12.9689,79.9489,29.82,73,0,5.48,IN,1684526870
317,holualoa,19.6228,-155.9522,24.58,68,100,2.57,US,1684526870
318,polyarnyy,69.1989,33.4478,9.07,73,100,5.77,RU,1684526870
319,mizdah,31.4451,12.9801,29.59,20,2,0.71,LY,1684526870
320,zainsk,55.3195,52.0694,9.55,83,100,1.42,RU,1684526871
321,burao,9.5221,45.5336,27.8,40,31,7.66,SO,1684526871
322,songjianghe,42.1859,127.479,10.4,86,100,2.28,CN,1684526871
323,mili,6.0815,171.735,28.39,78,84,4.9,MH,1684526871
324,tyul'gan,52.3405,56.166,8.92,87,100,4.25,RU,1684526871
325,borogontsy,62.6683,131.1683,0.87,80,23,3.65,RU,1684526871
326,amungan,15.3652,119.9582,27.2,82,100,2.33,PH,1684526871
327,woolgoolga,-30.1106,153.2007,8.36,76,0,2.59,AU,1684526871
328,delta,5.5,6.0,24.97,95,100,1.63,NG,1684526872
329,maceio,-9.6658,-35.7353,25.69,88,100,3.09,BR,1684526872
330,konin,52.2234,18.2512,9.78,95,100,2.9,PL,1684526787
331,chaman,30.9236,66.4512,25.52,12,3,1.38,PK,1684526872
332,komsomolets,53.7453,62.0708,8.7,64,70,3.3,KZ,1684526872
333,akdepe,42.0551,59.3788,20.47,50,15,3.31,TM,1684526872
334,vilyuchinsk,52.9306,158.4028,4.15,96,100,3.12,RU,1684526872
335,qaqortoq,60.7167,-46.0333,1.43,80,98,10.22,GL,1684526872
336,kertih,4.5141,103.4483,26.53,84,100,2.04,MY,1684526873
337,angatuba,-23.4897,-48.4128,19.59,55,8,2.16,BR,1684526873
338,zeya,53.75,127.2667,7.22,60,74,1.78,RU,1684526873
339,karratha,-20.7377,116.8463,19.37,30,5,6.61,AU,1684526873
340,khost,33.3395,69.9204,24.22,26,0,2.71,AF,1684526719
341,nemuro,43.3236,145.575,5.64,93,39,3.72,JP,1684526873
342,rockport,28.0206,-97.0544,32.01,78,0,6.69,US,1684526873
343,mata-utu,-13.2816,-176.1745,28.85,79,15,5.33,WF,1684526873
344,yatou,37.15,122.3833,15.31,89,80,5.67,CN,1684526873
345,muromtsevo,56.3724,75.2418,9.31,59,0,2.0,RU,1684526874
346,arkhangel'sk,64.5401,40.5433,2.69,84,23,1.9,RU,1684526874
347,anlu,31.1661,112.5831,23.6,62,94,1.98,CN,1684526874
348,salaqi,40.5414,110.5108,9.21,17,55,3.22,CN,1684526874
349,otacilio costa,-27.4831,-50.1219,16.05,63,10,1.12,BR,1684526874
350,riohacha,11.5444,-72.9072,30.48,68,84,6.79,CO,1684526874
351,guerrero negro,27.9769,-114.0611,20.82,58,0,5.66,MX,1684526874
352,wakkanai,45.4094,141.6739,6.75,94,39,4.61,JP,1684526874
353,tweed heads,-28.1817,153.547,9.02,93,0,0.51,AU,1684526814
354,mogocha,53.7333,119.7667,3.97,92,63,2.12,RU,1684526875
355,salalah,17.0151,54.0924,31.05,79,40,2.57,OM,1684526748
356,yanjiang,30.1211,104.6481,20.79,86,100,1.89,CN,1684526875
357,kavaratti,10.5669,72.642,29.3,69,24,3.16,IN,1684526875
358,maridi,4.9158,29.4742,20.72,90,100,2.13,SS,1684526875
359,thulamahashi,-24.7246,31.1994,15.34,90,31,2.93,ZA,1684526875
360,edd,13.9297,41.6925,34.2,48,3,7.93,ER,1684526876
361,khash,28.2211,61.2158,25.57,15,22,3.37,IR,1684526876
362,isafjordur,66.0755,-23.124,5.55,88,77,12.22,IS,1684526876
